exp_id,exp_desc,n_pecas,n_tipos,sheet_label,sheet_W,sheet_L,fixed,metodo,n_colocadas,n_total,z,z_lb,gap_pct,area_chapa,area_pecas,utilizacao,refugo,tempo_ms,n_chapas,media_pecas_chapa,n_restricoes,n_vars_binarias
E5,40 peças · 2 tipos · DN300 · peças grandes,40,2,1000xliv,1000.0,livre,False,GSAO,40,40,12842.64,8164.23,36.43,12842642.85,8164228.61,63.57,36.43,37802.56,1,40.0,,
E6,50 peças · 4 tipos · DN200/DN300 · máxima complexidade,50,4,1000xliv,1000.0,livre,False,GSAO,50,50,10328.17,6020.16,41.71,10328169.95,6020163.32,58.29,41.71,71660.36,1,50.0,,
